Description,Roast 1,Roast 2,Roast 3
Fair,Suspiciously nice out.,Sun's out. You aren't.,Better than your office.
Clear,Blindingly perfect.,The sun is showing off.,Zero clouds. Zero excuses.
Mostly Clear,A few clouds for drama.,Nature's filter is on.,Almost a 10/10 day.
Partly Cloudy,The sky has mood swings.,Patchy, and judging you.,Clouds: The only ceiling.
Mostly Cloudy,Sky is 80% attitude.,Grey, but make it lofty.,High ceilings, low sky.
Cloudy,The sky is buffering.,Mood: Gray and spacious.,View: Minimalist edition.
Overcast,Total visual silence.,A giant ceiling fan, today.,The ocean is a flat grey.
Fog,Ocean's playing shy.,A literal cloud house.,Visibility: Zero. Stay.
Mist,Nature's mist setting.,The air is a damp towel.,Vague sky, big ceilings.
Fog/Mist,Nature's mist setting.,The air is a damp towel.,Vague sky, big ceilings.
Drizzle,The sky is leaking.,Low-effort moisture.,Annoying, like an email.
Light Drizzle,Is it raining? Barely.,A minor dampening.,The sky just sighed.
Light Rain,Ocean's getting a refill.,Soft rain, big views.,Cozy up, or stay dry.
Rain,Jacuzzi weather. Period.,Nature is sobbing. Nice.,Wet. Stay in the jets.
Heavy Rain,A literal fire hose out.,The sky is collapsing.,Indoor nap weather.
Light Snow,Flakes and high ceilings.,Winter's being dramatic.,Cold. Get in the tub.
Thunderstorm in Vicinity,Drama on the horizon.,Trouble is close by.,Electric. Book it now.
Unknown Precipitation,Sky's doing... something.,Weather.exe has crashed.,Mystery moisture. Yikes.
